plz,lat,lon,ort
7511,47.205,16.3000000,Großbachselten
7511,47.202225,16.305556,Kleinbachselten
"7503,7512",47.191945,16.342777,Kotezicken
7511,47.194167,16.311944,Mischendorf
7503,47.217222,16.263056,Neuhaus in der Wart
7511,47.209723,16.285555,Rohrbach an der Teich
7501,47.219725,16.218889,Oberdorf im Burgenland
7501,47.219725,16.218889,Oberdorf im Burgenland
"7400,7432",47.349722,16.208333,Oberschützen
7432,47.4044,16.20333,Aschau im Burgenland
7432,47.349722,16.208333,Oberschützen
7432,47.413611,16.181389,Schmiedrait
7400,47.3225,16.202225,Unterschützen
7432,47.37,16.197225,Willersdorf
7400,47.287778,16.203056,Oberwart
7400,47.287778,16.203056,Oberwart
7400,47.2990,16.238889,Sankt Martin in der Wart
7423,47.371667,16.121944,Pinkafeld
7423,47.404167,16.113055,Hochart
7423,47.371667,16.121944,Pinkafeld
7471,47.306944,16.438333,Rechnitz
7471,47.3060,16.438333,Rechnitz
7422,47.346389,16.1325,Riedlingsdorf
7422,47.346389,16.1325,Riedlingsdorf
7501,47.252222,16.243333,Rotenturm an der Pinka
7501,47.252222,16.243333,Rotenturm an der Pinka
7501,47.261111,16.280833,Siget in der Wart
7501,47.279167,16.28,Spitzzicken
"7472,7503",47.264722,16.434167,Schachendorf
"7472,7503",47.269167,16.391665,Dürnbach im Burgenland
7472,47.264722,16.434167,Schachendorf
"7400,7461,7503",47.323889,16.276946,Stadtschlaining
7461,47.31583,16.285278,Altschlaining
7400,47.310835,16.25556,Drumling
7461,47.361389,16.281667,Goberling
"7461,7503",47.29694,16.2961,Neumarkt im Tauchental
7461,47.323889,16.276946,Stadtschlaining
"7434,7435",47.375833,16.324167,Unterkohlstätten
7435,47.3603,16.3295,Glashütten bei Schlaining
7435,47.395,16.3230,Günseck
"7434,7435",47.384167,16.304167,Holzschlag
7435,47.3725,16.3381,Oberkohlstätten
7435,47.375833,16.324167,Unterkohlstätten
7501,47.258889,16.233889,Unterwart
7501,47.2761,16.258611,Eisenzicken
7501,47.258889,16.233889,Unterwart
"7461,7463,7503",47.3025,16.347778,Weiden bei Rechnitz
7461,47.301389,16.316387,Allersdorf im Burgenland
7461,47.315278,16.314722,Allersgraben
7461,47.3211,16.308888,Mönchmeierhof
7463,47.321945,16.345556,Oberpodgoria
7461,47.282778,16.328333,Podler
7461,47.329167,16.301389,Rauhriegel
7463,47.315,16.326944,Rumpersdorf
7463,47.313889,16.3575,Unterpodgoria
7463,47.3025,16.347778,Weiden bei Rechnitz
"7463,7503",47.280834,16.355833,Zuberbach
7423,47.384722,16.1425,Wiesfleck
7423,47.41028,16.16389,Schönherrn
7423,47.3978,16.154444,Schreibersdorf
7423,47.3910,16.1690,Weinberg im Burgenland
7423,47.384722,16.1425,Wiesfleck
7412,47.2575,16.096389,Wolfau
7412,47.2575,16.096389,Wolfau
7423,47.367222,16.028056,Neustift an der Lafnitz
7423,47.367222,16.028056,Neustift an der Lafnitz
7503,47.238333,16.271667,Jabing
7503,47.238333,16.271667,Jabing
7512,47.195833,16.373056,Badersdorf
7512,47.195833,16.373056,Badersdorf
7472,47.2425,16.418056,Schandorf
7472,47.2425,16.418056,Schandorf
"9020,9061,9063,9073,9201",46.63,14.31,Klagenfurt
9020,46.626131,14.306106,"Klagenfurt, 01. Bezirk: Innere Stadt"
9020,46.626661,14.310642,"Klagenfurt, 02. Bezirk: Innere Stadt"
9020,46.622658,14.311364,"Klagenfurt, 03. Bezirk: Innere Stadt"
9020,46.622417,14.306247,"Klagenfurt, 04. Bezirk: Innere Stadt"
9020,46.669701,14.255919,"Klagenfurt, 05. Bezirk: Sankt Veiter Vorstadt"
9020,46.680812,14.34453,"Klagenfurt, 06. Bezirk: Völkermarkt. V"
9020,46.624979,14.308141,"Klagenfurt, 07. Bezirk: Viktringer Vorstadt"
9020,46.624979,14.308141,"Klagenfurt, 08. Bezirk: Villacher Vorstadt"
"9020,9061",46.647361,14.314414,"Klagenfurt, 09. Bezirk: Annabichl"
9020,46.618075,14.327711,"Klagenfurt, 10. Bezirk: Sankt Peter"
9020,46.610589,14.306756,"Klagenfurt, 11. Bezirk: Sankt Ruprecht"
9020,46.624211,14.279761,"Klagenfurt, 12. Bezirk: Sankt Martin"
"9020,9073",46.589725,14.269258,"Klagenfurt, 13. Bezirk: Viktring"
"9061,9063,9201",46.667347,14.256156,"Klagenfurt, 14. Bezirk: Wölfnitz"
9020,46.635353,14.400103,"Klagenfurt, 15. Bezirk: Hörtendorf"
"9500,9523,9524,9580,9586,9587",46.613169,13.845161,Villach
9500,46.613169,13.845161,Villach - Innere Stadt
9500,46.6114,13.8059,Goritschach
9500,46.6176,13.7442,Heiligengeist
9500,46.634206,13.774422,Mittewald ob Villach
9500,46.6217,13.8135,Neufellach
9500,46.630114,13.808169,Obere Fellach
9500,46.6167,13.7964,Pogöriach
9500,46.6192,13.8042,Sankt Georgen
9500,46.6283,13.82795,Untere Fellach
9500,46.6206,13.9180,Drautschen
9523,46.638569,13.896503,Gratschach
9500,46.63466,13.83784,Gritschach
9500,46.632011,13.847219,Großvassach
9523,46.65,13.940,Heiligen Gestade
9500,46.636089,13.854392,Kleinvassach
"9500,9523",46.640531,13.874494,Kumitz
"9500,9523,9524",46.6335,13.8844,Landskron
"9500,9523",46.626681,13.869192,Neulandskron
9500,46.6440,13.8156,Oberwollanig
9500,46.6335,13.8320,Rennstein
9523,46.6435,13.889711,Sankt Andrä
9500,46.625331,13.859614,Sankt Leonhard
9524,46.6124,13.8895,Sankt Magdalen
9500,46.6282,13.9020,Sankt Michael
9523,46.645511,13.870447,Sankt Ruprecht
9524,46.6102,13.9106,Sankt Ulrich
9500,46.640797,13.8261,Unterwollanig
9523,46.6401,13.88,Urlaken
9500,46.624003,13.907311,Zauchen
9580,46.5911,13.9412,Bogenfeld
9500,46.593842,13.8795,Dobrova
9500,46.6065,13.8981,Duel
9580,46.586231,13.935125,Egg am Faaker See
9580,46.5971,13.9480,Graschitz
9580,46.590672,13.909467,Greuth
9580,46.603297,13.9203,Großsattel
9500,46.6030,13.8945,Kleinsattel
9580,46.5977,13.9152,Kratschach
9500,46.5994,13.8763,Maria Gail
9580,46.590608,13.893622,Mittewald
9500,46.6020,13.8845,Prossowitsch
9580,46.5998,13.9437,Sankt Niklas an der Drau
9580,46.5965,13.9042,Serai
9500,46.5880,13.85685,Tschinowitsch
9500,46.5923,13.859294,Turdanitsch
9500,46.6476,13.8004,Weißenbach
9580,46.588394,13.91685,Drobollach am Faaker See
9586,46.5740,13.8118,Oberfederaun
"9586,9587",46.567864,13.757125,Oberschütt
9586,46.5705,13.8139,Unterfederaun
"9586,9587",46.564553,13.783025,Unterschütt
9500,46.590397,13.841622,Villach - Auen
"9500,9524",46.617908,13.863639,Villach - Seebach-Wasenboden
9500,46.622319,13.848742,Villach - Lind
9500,46.613881,13.872322,Villach - Sankt Agathen und Perau
9500,46.617353,13.827969,Villach - Sankt Martin
9500,46.603033,13.823522,Villach - Völkendorf
9500,46.588858,13.825986,Villach - Warmbad-Judendorf
9504,46.5866,13.82386,Villach-Warmbad
"9635,9640",46.662767,13.078369,Dellach
9635,46.662767,13.078369,Dellach
9635,46.6744,13.070289,Goldberg
9635,46.667358,13.085897,Gurina
9640,46.666386,13.03845,Höfling
9635,46.662231,13.092661,Leifling
9635,46.666825,13.059561,Monsell
9635,46.6463,13.088639,Nölbling
9635,46.669978,13.076453,Rüben
9635,46.662894,13.055064,Sankt Daniel
9635,46.672139,13.101694,Siegelberg
9635,46.669589,13.048997,Stollwitz
9635,46.665222,13.106028,Wieserberg
"9615,9620,9624,9631",46.63,13.36,Hermagor-Pressegger See
9620,46.623031,13.410197,Braunitzen
9624,46.607172,13.423267,Brugg
9624,46.605422,13.446864,Dellach
9624,46.613667,13.402739,Egg
9620,46.6280,13.3967,Eggforst
9624,46.618892,13.389372,Fritzendorf
9624,46.6142,13.4150,Götzing
9624,46.6,13.4248,Grafenau
9624,46.614875,13.444083,Kreuth ob Mellweg
9624,46.6105,13.4633,Latschach
9624,46.607878,13.415267,Mellach
9624,46.608389,13.442467,Mellweg
9624,46.615581,13.392858,Micheldorf
9624,46.6025,13.4691,Nampolach
9620,46.619111,13.377697,Neudorf
9624,46.620328,13.438536,Paßriach
"9620,9624",46.613658,13.379697,Potschach
9624,46.6099,13.4097,Süßenberg
9624,46.610972,13.417972,Toschehof
9615,46.6292,13.4716667,Förolach
9615,46.6170,13.4795,Görtschach
9615,46.6288,13.45235,Presseggen
9615,46.6267,13.4823,Schinzengraben
9615,46.6327,13.4823,Siebenbrünn
9615,46.6227,13.4781,Wittenig
9615,46.6372,13.4527,Zuchen
9620,46.6393,13.333436,Aigen
9620,46.640047,13.348833,Grünburg
9620,46.6272,13.3672,Hermagor
9620,46.6340,13.4154,Khünburg
9620,46.63425,13.365314,Kraß
9620,46.6319,13.3442,Kreuth ob Möschach
9620,46.620114,13.365089,Kühwegboden
